Trailer_id,Title,ReleaseYear,Studio,OpeningTheaters,ViewCount,LikeCount,DislikeCount,LikeDislikeRatio,CommentCount,positiveWordsBL,negativeWordsBL,netSentimentBL,scoreAbsoluteAFINN,budget,OpeningWeekendGross,genre,mpaaRating,TotalGross
svnAD0TApb8,Alien: Covenant,2017,Fox,"3,761",24355882,150370,8754,17.18,19257,8888,7639,1249,6734,97000000,"$36,160,621 ",Sci-Fi,R,"$74,262,031 "
VDm_2m-Hg6c,Captain Underpants: The First Epic Movie,2017,Fox,"3,434",12162306,183091,9331,19.62,19702,7846,4620,3226,11289,38000000,"$23,851,539 ",Animation,PG,"$73,921,000 "
WfaTlmYvTA8,White House Down,2013,Sony,"3,222",8012110,2684,307,8.74,607,358,509,-151,-119,150000000,"$24,852,258 ",Drama,PG-13,"$73,103,784 "
6Rf55GTEZ_E,John Carter,2012,BV,"3,749",8855231,9043,1048,8.63,3084,2291,1498,793,2912,250000000,"$30,180,188 ",Sci-Fi,PG-13,"$73,078,100 "
GFqY089piQ4,Hercules (2014),2014,Par.,"3,595",10106294,16519,1251,13.2,3259,1851,1407,444,1865,100000000,"$29,800,263 ",Action,PG-13,"$72,688,614 "
ZENmkJk9fBM,Storks,2016,WB,"3,922",6589015,27804,1363,20.4,2975,1119,624,495,2105,70000000,"$21,311,407 ",Animation,PG,"$72,679,278 "
mBBuzHrZBro,Bridge of Spies,2015,BV,"2,811",6839526,13580,588,23.1,1517,991,843,148,612,40000000,"$15,371,203 ",Thriller,PG-13,"$72,313,754 "
FJdNdMOblaM,A Bad Moms Christmas,2017,STX,"3,615",3811592,14101,899,15.69,596,309,331,-22,4,28000000,"$16,759,161 ",Comedy,R,"$72,110,659 "
saHzng8fxLs,10 Cloverfield Lane,2016,Par.,"3,391",9788470,32584,1208,26.97,7108,3791,3817,-26,2740,5000000,"$24,727,437 ",Thriller,PG-13,"$72,082,998 "
XzFCDqKE4yA,The Purge: Anarchy,2014,Uni.,"2,805",16159636,32899,2221,14.81,9741,4704,6530,-1826,-3819,9000000,"$29,816,675 ",Thriller,R,"$71,962,800 "
7Am7i7uM9r0,Mama,2013,Uni.,"2,647",12872099,28785,2637,10.92,5575,2510,3243,-733,-228,15000000,"$28,402,310 ",Horror,PG-13,"$71,628,180 "
p4vhm3_-3VM,Safe Haven,2013,Rela.,"3,223",3961513,9255,399,23.2,749,525,274,251,861,28000000,"$21,401,594 ",Other,PG-13,"$71,349,120 "
v1oi-RkCLNM,Paul Blart: Mall Cop 2,2015,Sony,"3,633",2611638,9143,996,9.18,802,387,394,-7,646,30000000,"$23,762,435 ",Comedy,PG,"$71,038,190 "
HRZNB6Prqt0,The Smurfs 2,2013,Sony,"3,866",3328595,4508,1021,4.415279138,689,246,289,-43,-3,105000000,"$17,548,389 ",Other,PG,"$71,017,784 "
k6iNiJivOOQ,The Best Man Holiday,2013,Uni.,"2,024",2096757,5595,333,16.8,776,553,395,158,813,17000000,"$30,107,555 ",Comedy,R,"$70,525,195 "
ZnlPgo9TaGo,Act of Valor,2012,Rela.,"3,039",11268201,27411,1422,19.28,8642,7721,8021,-300,-3282,12000000,"$24,476,632 ",Thriller,R,"$70,012,847 "
UL29y0ah92w,The First Purge,2018,Uni.,"3,031",15098148,112659,16671,6.76,26611,8754,14972,-6218,-16464,13000000,"$17,374,280 ",Thriller,R,"$69,086,325 "
